Day,Month,IncidentYear,VictimInjury,State,Location,latitude,longitude,SharkType,SharkLength(m),Provoked,SharkCount,VictimActivity,InjuryLocation,InjurySeverity,VictimGender,VictimAge
1,7,2013,Injured,VIC,flinders,-38.46666667,145.0166667,white shark,1.7,Unprovoked,1,swimming,"arm, hand",minor lacerations,Male,29
24,10,2013,Injured,NSW,narrabeen beach (south),-33.71666667,151.3,wobbegong,,Provoked,1,boarding,foot,minor lacerations,Male,
28,10,2013,Injured,WA,"exmouth, turquoise bay",-21.95,114.1166667,grey reef shark,,Unprovoked,1,snorkelling,arm,minor lacerations,Female,
8,10,2013,Injured,WA,"poison creek beach, israelite bay",-33.95,123.9166667,white shark,5,Provoked,1,diving,"head, shoulder",major lacerations,Male,55
30,11,2013,Fatal,NSW,"coffs harbour, campbell's beach",-30.26666667,153.1333333,tiger shark,3,Unprovoked,1,boarding,leg,major lacerations,Male,19
23,11,2013,Fatal,WA,"gracetown, umbies break",-33.85,114.9666667,white shark,3,Unprovoked,1,boarding,"arm, torso, leg",major lacerations,Male,35
14,12,2013,Injured,QLD,gold coast,-28.1,153.4666667,wobbegong,1.5,Unprovoked,1,diving,leg,surface wound,Female,33
5,12,2013,Injured,NSW,"port macquarie, shelley beach",-31.45,152.9166667,wobbegong,1.7,Unprovoked,1,boarding,leg,minor lacerations,Male,26
8,2,2014,Fatal,SA,"goldsmith beach, yorke peninsula",-35.13333333,137.7,white shark,,Provoked,1,spearfishing,other: body not recovered,,Male,28
18,2,2014,Uninjured,WA,rottnest island,-32,115.55,white shark,4,Provoked,1,spearfishing,other: uninjured,,Male,70
18,3,2014,Uninjured,VIC,"winkipop, bell's beach",-38.36666667,144.2666667,white shark,1.4,Unprovoked,1,boarding,other: uninjured,,Male,42
12,3,2014,Injured,NSW,"port macquarie, lighthouse beach",-31.46666667,152.9166667,wobbegong,1.8,Provoked,1,swimming,foot,minor lacerations,Male,40
3,4,2014,Fatal,NSW,tathra,-36.71666667,149.9833333,white shark,3.5,Unprovoked,1,swimming,other: body not recovered,,Female,63
24,4,2014,Injured,WA,"coral bay, south passage",-23.13333333,113.75,whaler shark,,Provoked,1,spearfishing,"arm, hand",minor lacerations,Male,
14,5,2014,Uninjured,SA,elliston bar,-33.63333333,134.8666667,white shark,4.6,Unprovoked,1,boarding,other: uninjured,,Male,35
25,5,2014,Injured,QLD,"chevron island, narang river",-27.98333333,153.4166667,bull shark,1.3,Unprovoked,1,swimming,thigh,major lacerations,Female,29
9,6,2014,Injured,SA,"parsons beach, fleurieu peninsula",-35.63087083,138.4666667,white shark,1.5,Unprovoked,1,boarding,torso,minor lacerations,Male,39
1,6,2014,Injured,NSW,"seven mile beach, nowra",-34.83333333,150.75,wobbegong,,Provoked,1,boarding,foot,minor lacerations,Male,
19,6,2014,Injured,SA,middleton beach,-35.5,138.7166667,white shark,2.8,Unprovoked,1,boarding,leg,minor lacerations,Male,15
19,6,2014,Injured,SA,middleton beach,-35.5,138.7166667,white shark,2.8,Unprovoked,1,boarding,,minor lacerations,Male,
16,8,2014,Injured,WA,gnaraloo station,-23.78333333,113.5,whaler shark,,Provoked,1,spearfishing,head,major lacerations,Male,31
9,9,2014,Fatal,NSW,"byron bay, clarkes beach",-28.63333333,153.6,white shark,3.7,Unprovoked,1,snorkelling,thigh,major lacerations,Male,50
26,9,2014,Injured,NSW," port macquarie, town beach",-31.41666667,152.9166667,wobbegong,,Unprovoked,1,swimming,"arm, hand",minor lacerations,Female,13
17,10,2014,Injured,NSW,avoca beach,-33.45,151.4333333,wobbegong,1,Provoked,1,boarding,foot,minor lacerations,Female,13
29,10,2014,Injured,NSW,"wallabi point, old bar",-31.98333333,152.5666667,wobbegong,,Provoked,1,boarding,foot,minor lacerations,Male,20
2,10,2014,Injured,WA,"wylie bay, esperance",-33.83333333,121.9166667,white shark,3.5,Unprovoked,1,boarding,"arm, leg",major lacerations,Male,23
10,11,2014,Injured,NSW,moonee bay,-30.2,159.15,wobbegong,,Provoked,1,swimming,foot,punctures,Male,
10,11,2014,Injured,NSW,"casey's beach, bateman's bay",-35.73333333,150.2,wobbegong,1,Provoked,1,snorkelling,thigh,other: teeth marks,Male,
29,11,2014,Injured,NSW,"dee why beach, sydney",-33.75,151.3,wobbegong,1,Unprovoked,1,swimming,"thigh, right",minor punctures,Female,
29,11,2014,Injured,WA,"pyramind's beach, dawesville",-32.6,115.6166667,bronze whaler shark,2.3,Unprovoked,1,boarding,leg,other: teeth marks,Male,13
29,12,2014,Injured,NSW,booderee national park,-35.1338,150.686,unknown,,Unprovoked,1,boarding,"leg, ankle",minor lacerations,Male,
29,12,2014,Fatal,WA,"cheynes beach, albany",-34.88003124,118.404958,white shark,5,Provoked,1,spearfishing,leg,major lacerations,Male,17
15,12,2014,Fatal,QLD,"rudder reef, port douglas",-16.2,145.75,tiger shark,3.3,Provoked,1,spearfishing,"arm, leg",major lacerations,Male,18
19,1,2015,Uninjured,NSW,"byron bay, wategos beach",-28.63333333,153.6166667,white shark,,Unprovoked,1,boarding,other: uninjured,,Female,
5,1,2015,Injured,NSW,"port stephens, piggies beach",-32.68333333,152.0333333,wobbegong,,Provoked,1,other: standing in water,foot,minor lacerations,Male,
30,1,2015,Uninjured,QLD,"nerang river, surfers paradise",-27.63333333,153.45,bull shark,1.3,Unprovoked,1,unmotorised boating,other: uninjured,,Male,57
24,1,2015,Uninjured,NSW,"ballina, flat rock",-28.83333333,153.6,white shark,,Unprovoked,1,boarding,other: uninjured,,Male,36
16,1,2015,Injured,NSW,mollymook,-35.33333333,150.4666667,bronze whaler shark,2.5,Provoked,1,spearfishing,hand,minor lacerations,Male,17
8,2,2015,Injured,NSW,"ballina, seven mile beach",-28.88333333,153.5666667,white shark,,Unprovoked,1,boarding,"torso, pelvic region",major lacerations,Male,35
9,2,2015,Fatal,NSW,"ballina, shelly beach",-28.85,153.5833333,white shark,3.5,Unprovoked,1,boarding,leg,major lacerations,Male,41
6,2,2015,Injured,NSW,"merewether beach, newcastle",-32.95,151.75,wobbegong,,Unprovoked,1,swimming,leg,minor lacerations,Male,
